timestamp,endpoint,cache_name,tasks,cost_usd
2026-09-17T10:34:51.996Z,/v3/dataforseo_labs/google/related_keywords/live,related_keywords-en-2026-09-17-00,1,0.01296
2026-09-17T10:34:52.089Z,/v3/dataforseo_labs/google/related_keywords/live,related_keywords-en-2026-09-17-06,1,0.012
2026-09-17T10:34:52.132Z,/v3/dataforseo_labs/google/related_keywords/live,related_keywords-en-2026-09-17-05,1,0.01212
2026-09-17T10:34:52.188Z,/v3/dataforseo_labs/google/related_keywords/live,related_keywords-en-2026-09-17-04,1,0.01488
2026-09-17T10:34:52.248Z,/v3/dataforseo_labs/google/related_keywords/live,related_keywords-en-2026-09-17-08,1,0.01212
2026-09-17T10:34:52.289Z,/v3/dataforseo_labs/google/related_keywords/live,related_keywords-en-2026-09-17-09,1,0.01212
2026-09-17T10:34:52.321Z,/v3/dataforseo_labs/google/related_keywords/live,related_keywords-en-2026-09-17-07,1,0.0138
2026-09-17T10:34:52.494Z,/v3/dataforseo_labs/google/related_keywords/live,related_keywords-en-2026-09-17-11,1,0.012
2026-09-17T10:34:52.497Z,/v3/dataforseo_labs/google/related_keywords/live,related_keywords-en-2026-09-17-12,1,0.012
2026-09-17T10:34:52.507Z,/v3/dataforseo_labs/google/related_keywords/live,related_keywords-en-2026-09-17-10,1,0.01212
2026-09-17T10:34:52.895Z,/v3/dataforseo_labs/google/related_keywords/live,related_keywords-en-2026-09-17-13,1,0.01356
2026-09-17T10:34:52.920Z,/v3/dataforseo_labs/google/related_keywords/live,related_keywords-en-2026-09-17-14,1,0.01212
2026-09-17T10:35:14.857Z,/v3/dataforseo_labs/google/keyword_ideas/live,keyword_ideas-pl-pl-2026-09-17,1,0.096
2026-09-17T10:35:14.992Z,/v3/dataforseo_labs/google/keyword_suggestions/live,keyword_suggestions-pl-2026-09-17-00,1,0.012
2026-09-17T10:35:15.118Z,/v3/dataforseo_labs/google/keyword_suggestions/live,keyword_suggestions-pl-2026-09-17-03,1,0.012
2026-09-17T10:35:15.140Z,/v3/dataforseo_labs/google/keyword_suggestions/live,keyword_suggestions-pl-2026-09-17-01,1,0.012
2026-09-17T10:35:15.144Z,/v3/dataforseo_labs/google/keyword_suggestions/live,keyword_suggestions-pl-2026-09-17-02,1,0.012
2026-09-17T10:35:15.244Z,/v3/dataforseo_labs/google/keyword_suggestions/live,keyword_suggestions-pl-2026-09-17-05,1,0.012
2026-09-17T10:35:15.291Z,/v3/dataforseo_labs/google/keyword_suggestions/live,keyword_suggestions-pl-2026-09-17-04,1,0.012
2026-09-17T10:35:15.469Z,/v3/dataforseo_labs/google/keyword_suggestions/live,keyword_suggestions-pl-2026-09-17-07,1,0.012
2026-09-17T10:35:15.521Z,/v3/dataforseo_labs/google/keyword_suggestions/live,keyword_suggestions-pl-2026-09-17-06,1,0.0126
2026-09-17T10:35:15.557Z,/v3/dataforseo_labs/google/keyword_suggestions/live,keyword_suggestions-pl-2026-09-17-08,1,0.01236
2026-09-17T10:35:15.681Z,/v3/dataforseo_labs/google/keyword_suggestions/live,keyword_suggestions-pl-2026-09-17-09,1,0.012
2026-09-17T10:35:15.705Z,/v3/dataforseo_labs/google/keyword_suggestions/live,keyword_suggestions-pl-2026-09-17-10,1,0.01332
2026-09-17T10:35:15.767Z,/v3/dataforseo_labs/google/keyword_suggestions/live,keyword_suggestions-pl-2026-09-17-11,1,0.012
2026-09-17T10:35:15.841Z,/v3/dataforseo_labs/google/keyword_suggestions/live,keyword_suggestions-pl-2026-09-17-12,1,0.01368
2026-09-17T10:35:15.964Z,/v3/dataforseo_labs/google/keyword_suggestions/live,keyword_suggestions-pl-2026-09-17-14,1,0.01212
2026-09-17T10:35:16.039Z,/v3/dataforseo_labs/google/keyword_suggestions/live,keyword_suggestions-pl-2026-09-17-15,1,0.012
2026-09-17T10:35:16.064Z,/v3/dataforseo_labs/google/keyword_suggestions/live,keyword_suggestions-pl-2026-09-17-13,1,0.012
2026-09-17T10:35:16.235Z,/v3/dataforseo_labs/google/keyword_suggestions/live,keyword_suggestions-pl-2026-09-17-18,1,0.012
2026-09-17T10:35:16.288Z,/v3/dataforseo_labs/google/keyword_suggestions/live,keyword_suggestions-pl-2026-09-17-17,1,0.018
2026-09-17T10:35:16.312Z,/v3/dataforseo_labs/google/keyword_suggestions/live,keyword_suggestions-pl-2026-09-17-16,1,0.012
2026-09-17T10:35:16.340Z,/v3/dataforseo_labs/google/keyword_suggestions/live,keyword_suggestions-pl-2026-09-17-19,1,0.012
2026-09-17T10:35:16.402Z,/v3/dataforseo_labs/google/keyword_suggestions/live,keyword_suggestions-pl-2026-09-17-20,1,0.01212
2026-09-17T10:35:16.450Z,/v3/dataforseo_labs/google/keyword_suggestions/live,keyword_suggestions-pl-2026-09-17-21,1,0.012
